0;1
閛.Eth.1;
192.168.0.30;52530
SCh2_TekRegim_U16;16
SCh2_KodTechSost_U8;8
SCh2_TekNavPRIV1_U8;8
SCh2_TekNavPRIV2_U8;8
SCh2_TekAz_PRIV1_I32;32
SCh2_TekUgM_PRIV1_I32;32
SCh2_TekAz_PRIV2_I32;32
SCh2_TekUgM_PRIV2_I32;32
SCh2_TekObzorPRIV2_U8;8
SCh2_TekSostSOV_U8;8
SCh2_TekAzOR1_I32;32
SCh2_TekUgMesOR1_I32;32
SCh2_TekVremPrbrOR1_U16;16
SCh2_TekVremObzorOR1_U16;16
SCh2_TekAzOR2_I32;32
SCh2_TekUgMesOR2_I32;32
SCh2_TekVremPrbrOR2_U16;16
SCh2_TekVremObzorOR2_U16;16
SCh2_TekAzOR3_I32;32
SCh2_TekUgMesOR3_I32;32
SCh2_TekVremPrbrOR3_U16;16
SCh2_TekVremObzorOR3_U16;16
SCh2_TekAzOR4_I32;32
SCh2_TekUgMesOR4_I32;32
SCh2_TekVremPrbrOR4_U16;16
SCh2_TekVremObzorOR4_U16;16
SCh2_TekAzOR5_I32;32
SCh2_TekUgMesOR5_I32;32
SCh2_TekVremPrbrOR5_U16;16
SCh2_TekVremObzorOR5_U16;16
SCh2_TekAzOR6_I32;32
SCh2_TekUgMesOR6_I32;32
SCh2_TekVremPrbrOR6_U16;16
SCh2_TekVremObzorOR6_U16;16
SCh2_TekAzOR7_I32;32
SCh2_TekUgMesOR7_I32;32
SCh2_TekVremPrbrOR7_U16;16
SCh2_TekVremObzorOR7_U16;16
SCh2_TekAzOR8_I32;32
SCh2_TekUgMesOR8_I32;32
SCh2_TekVremPrbrOR8_U16;16
SCh2_TekVremObzorOR8_U16;16
SCh2_TekAzOR9_I32;32
SCh2_TekUgMesOR9_I32;32
SCh2_TekVremPrbrOR9_U16;16
SCh2_TekVremObzorOR9_U16;16
SCh2_TekAzOR10_I32;32
SCh2_TekUgMesOR10_I32;32
SCh2_TekVremPrbrOR10_U16;16
SCh2_TekVremObzorOR10_U16;16
SCh2_TekZonaObzorAz_U16;16
SCh2_TekZonaObzorUgM_U16;16
SCh2_Narab_U32;32
SCh2_KodAvar_U32;32
CV_TekVrem_U32;32
CRC16;16
